total_games,variable,rating,player
1002,standard,2682,"Esipenko, Andrey"
1009,standard,2692,"Esipenko, Andrey"
1019,standard,2678,"Esipenko, Andrey"
1030,standard,2668,"Esipenko, Andrey"
16,standard,1909,"Yakubboev, Nodirbek"
21,standard,1895,"Yakubboev, Nodirbek"
26,standard,1852,"Yakubboev, Nodirbek"
34,standard,1896,"Yakubboev, Nodirbek"
43,standard,1909,"Yakubboev, Nodirbek"
52,standard,1965,"Yakubboev, Nodirbek"
60,standard,1996,"Yakubboev, Nodirbek"
73,standard,2005,"Yakubboev, Nodirbek"
83,standard,1987,"Yakubboev, Nodirbek"
92,standard,1978,"Yakubboev, Nodirbek"
100,standard,2004,"Yakubboev, Nodirbek"
109,standard,2056,"Yakubboev, Nodirbek"
117,standard,2036,"Yakubboev, Nodirbek"
125,standard,2062,"Yakubboev, Nodirbek"
136,standard,2075,"Yakubboev, Nodirbek"
151,standard,2131,"Yakubboev, Nodirbek"
162,standard,2132,"Yakubboev, Nodirbek"
180,standard,2217,"Yakubboev, Nodirbek"
187,standard,2207,"Yakubboev, Nodirbek"
206,standard,2193,"Yakubboev, Nodirbek"
214,standard,2144,"Yakubboev, Nodirbek"
224,standard,2274,"Yakubboev, Nodirbek"
233,standard,2273,"Yakubboev, Nodirbek"
245,standard,2296,"Yakubboev, Nodirbek"
263,standard,2342,"Yakubboev, Nodirbek"
271,standard,2333,"Yakubboev, Nodirbek"
280,standard,2349,"Yakubboev, Nodirbek"
291,standard,2375,"Yakubboev, Nodirbek"
300,standard,2417,"Yakubboev, Nodirbek"
318,standard,2422,"Yakubboev, Nodirbek"
327,standard,2431,"Yakubboev, Nodirbek"
332,standard,2435,"Yakubboev, Nodirbek"
343,standard,2432,"Yakubboev, Nodirbek"
352,standard,2427,"Yakubboev, Nodirbek"
369,standard,2440,"Yakubboev, Nodirbek"
387,standard,2437,"Yakubboev, Nodirbek"
398,standard,2433,"Yakubboev, Nodirbek"
407,standard,2437,"Yakubboev, Nodirbek"
416,standard,2448,"Yakubboev, Nodirbek"
424,standard,2462,"Yakubboev, Nodirbek"
433,standard,2482,"Yakubboev, Nodirbek"
442,standard,2493,"Yakubboev, Nodirbek"
463,standard,2512,"Yakubboev, Nodirbek"
488,standard,2521,"Yakubboev, Nodirbek"
499,standard,2522,"Yakubboev, Nodirbek"
509,standard,2549,"Yakubboev, Nodirbek"
529,standard,2556,"Yakubboev, Nodirbek"
547,standard,2569,"Yakubboev, Nodirbek"
565,standard,2577,"Yakubboev, Nodirbek"
583,standard,2600,"Yakubboev, Nodirbek"
592,standard,2587,"Yakubboev, Nodirbek"
601,standard,2575,"Yakubboev, Nodirbek"
613,standard,2574,"Yakubboev, Nodirbek"
622,standard,2598,"Yakubboev, Nodirbek"
631,standard,2603,"Yakubboev, Nodirbek"
640,standard,2592,"Yakubboev, Nodirbek"
650,standard,2597,"Yakubboev, Nodirbek"
669,standard,2591,"Yakubboev, Nodirbek"
677,standard,2605,"Yakubboev, Nodirbek"
698,standard,2598,"Yakubboev, Nodirbek"
711,standard,2604,"Yakubboev, Nodirbek"
720,standard,2621,"Yakubboev, Nodirbek"
741,standard,2630,"Yakubboev, Nodirbek"
750,standard,2620,"Yakubboev, Nodirbek"
770,standard,2656,"Yakubboev, Nodirbek"
780,standard,2663,"Yakubboev, Nodirbek"
