total_games,variable,rating,player
809,standard,2754,"Firouzja, Alireza"
819,standard,2770,"Firouzja, Alireza"
839,standard,2804,"Firouzja, Alireza"
848,standard,2793,"Firouzja, Alireza"
862,standard,2778,"Firouzja, Alireza"
870,standard,2785,"Firouzja, Alireza"
14,standard,1291,Gukesh D
16,standard,1305,Gukesh D
17,standard,1303,Gukesh D
18,standard,1297,Gukesh D
24,standard,1256,Gukesh D
33,standard,1253,Gukesh D
49,standard,1278,Gukesh D
56,standard,1280,Gukesh D
70,standard,1475,Gukesh D
98,standard,1661,Gukesh D
104,standard,1616,Gukesh D
126,standard,1600,Gukesh D
145,standard,1701,Gukesh D
153,standard,1735,Gukesh D
162,standard,1752,Gukesh D
171,standard,1772,Gukesh D
183,standard,1801,Gukesh D
194,standard,1764,Gukesh D
211,standard,1765,Gukesh D
229,standard,1801,Gukesh D
238,standard,1869,Gukesh D
264,standard,1949,Gukesh D
282,standard,2041,Gukesh D
300,standard,2062,Gukesh D
317,standard,2095,Gukesh D
325,standard,2061,Gukesh D
343,standard,2056,Gukesh D
363,standard,2092,Gukesh D
374,standard,1974,Gukesh D
391,standard,2032,Gukesh D
409,standard,2175,Gukesh D
418,standard,2252,Gukesh D
437,standard,2236,Gukesh D
475,standard,2184,Gukesh D
484,standard,2260,Gukesh D
500,standard,2283,Gukesh D
527,standard,2332,Gukesh D
551,standard,2365,Gukesh D
577,standard,2335,Gukesh D
586,standard,2323,Gukesh D
595,standard,2362,Gukesh D
616,standard,2354,Gukesh D
644,standard,2320,Gukesh D
653,standard,2360,Gukesh D
671,standard,2401,Gukesh D
689,standard,2426,Gukesh D
698,standard,2431,Gukesh D
725,standard,2433,Gukesh D
743,standard,2440,Gukesh D
761,standard,2453,Gukesh D
789,standard,2456,Gukesh D
808,standard,2457,Gukesh D
819,standard,2466,Gukesh D
838,standard,2497,Gukesh D
866,standard,2508,Gukesh D
876,standard,2529,Gukesh D
894,standard,2536,Gukesh D
921,standard,2533,Gukesh D
929,standard,2543,Gukesh D
947,standard,2520,Gukesh D
963,standard,2528,Gukesh D
981,standard,2535,Gukesh D
988,standard,2520,Gukesh D
999,standard,2544,Gukesh D
1008,standard,2547,Gukesh D
1026,standard,2542,Gukesh D
1054,standard,2563,Gukesh D
1064,standard,2578,Gukesh D
1095,standard,2599,Gukesh D
1130,standard,2640,Gukesh D
1157,standard,2621,Gukesh D
1168,standard,2614,Gukesh D
1200,standard,2637,Gukesh D
1225,standard,2659,Gukesh D
1235,standard,2675,Gukesh D
1244,standard,2684,Gukesh D
1260,standard,2699,Gukesh D
1281,standard,2726,Gukesh D
1288,standard,2732,Gukesh D
11,standard,1584,Erigaisi Arjun
17,standard,1571,Erigaisi Arjun
27,standard,1557,Erigaisi Arjun
32,standard,1528,Erigaisi Arjun
60,standard,1548,Erigaisi Arjun
82,standard,1650,Erigaisi Arjun
89,standard,1669,Erigaisi Arjun
119,standard,1684,Erigaisi Arjun
129,standard,1731,Erigaisi Arjun
149,standard,1734,Erigaisi Arjun
160,standard,1739,Erigaisi Arjun
163,standard,1740,Erigaisi Arjun
171,standard,1753,Erigaisi Arjun
179,standard,1780,Erigaisi Arjun
190,standard,1792,Erigaisi Arjun
226,standard,1811,Erigaisi Arjun
237,standard,1818,Erigaisi Arjun
246,standard,1839,Erigaisi Arjun
262,standard,1814,Erigaisi Arjun
268,standard,1803,Erigaisi Arjun
277,standard,1785,Erigaisi Arjun
304,standard,1814,Erigaisi Arjun
